date,model,question,intent,cited,rate,hits,asks,matched,urls,error,sources
"2026-09-19","gemini:gemini-2.5-flash","Can you do Shirodhara at home without an assistant?","practical","yes","0.67","2","3","source:ageayurveda.com","https://ageayurveda.com/products/surya-shirodhara","","ask-ayurveda.com; ayurvedacollege.com; holplus.co; ayursh.com; svasthaayurveda.com; youtube.com; hindustantimes.com; atmiyasurgical.com; etsy.com; justdial.com; touchamerica.com; michelepelafas.com; ageayurveda.com; healthline.com; drjasnasayurveda.com; purushaayurveda.com; tattvaspa.com; panchakarma.club; indiatimes.com; shirobliss.com; cristalmind.com; ayurvedanama.org"
"2026-09-19","gemini:gemini-2.5-flash","Is a Shirodhara machine a medical device?","practical","yes","0.67","2","3","source:ageayurveda.com","https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device","","thehindu.com; artofvedas.com; federalregister.gov; fda.gov; ageayurveda.com; ayurvedengineering.com; facebook.com; cristalmind.com; irjet.net; moh.gov.my; researchgate.net; scribd.com; mantechpublications.com; gilero.com; ijtre.com; cisema.com; news-medical.net; dmp.no; greenlight.guru; pharmadocx.com"
"2026-09-19","gemini:gemini-2.5-flash","What temperature should Shirodhara oil be?","practical","no","0.00","0","3","","","","artofvedas.com; purespadirect.com; nih.gov; ayurvedacollege.com; ayurveda-badems.com; theayurvedaexperience.com; ayurvedguru.com; keralaayurveda.com; ayurvedagurukulam.com"
"2026-09-19","gemini:gemini-2.5-flash","How long does a Shirodhara session last?","practical","no","0.00","0","3","","","","ayurvaid.com; sushruta-clinic.com; facebook.com; yarawellness.com; ayurvedacollege.com; theayurvedaexperience.com; tigrisvalley.com; artoflivingretreatcenter.org; ayursh.com; ayurvedanama.org; ceylonayurveda.pl"
"2026-09-19","gemini:gemini-2.5-flash","How often should you have Shirodhara?","practical","no","0.00","0","3","","","","sahajayurveda.com; tattvaspa.com; yarawellness.com; ayurvidawellness.com; ayurvedicwellness.center; ayurvedacollege.com; sushruta-clinic.com; ayushmanayurvedic.in; shathayuveda.com; theayurvedaexperience.com; ayurvaid.com; ceylonayurveda.pl; ayurvedanama.org; purushaayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","Who should not have Shirodhara?","practical","no","0.00","0","3","","","","tattvaspa.com; theayurvedaexperience.com; lanaoncospa.com; ayurvaid.com; drpalikuttysayurveda.com; purushaayurveda.com; ayurvedanama.org; ayushmanbhavayurveda.com; lybrate.com; ayurhitam.com; atticeayurveda.in; healthline.com; ayurvedamrut.us; carakasamhitaonline.com; panchakarma.club"
"2026-09-19","gemini:gemini-2.5-flash","Which oil is used for Vata Shirodhara?","practical","no","0.00","0","3","","","","theayurvedaexperience.com; sevayu.com; artoflivingretreatcenter.org; spadreams.com; ask-ayurveda.com; sutrakart.com; artofvedas.com; ayurvedacollege.com; heritageayurveda.de; ayurvedicherbsdirect.com; banyanbotanicals.com"
"2026-09-19","gemini:gemini-2.5-flash","Which oil should be used for a Pitta constitution in Shirodhara?","practical","no","0.00","0","3","","","","vardhanayurveda.com; ask-ayurveda.com; ayurvedacollege.com; theayurvedaexperience.com; artofvedas.com; ayurroots.com; ayumantra.co; svasthaayurveda.com; sevayu.com; spadreams.com; joyfulbelly.com; tigrisvalley.com; banyanbotanicals.com; easyayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the traditional material for a Shirodhara pot?","practical","no","0.00","0","3","","","","artofvedas.com; ayurvedapura.com; esteemservices.co.in; avpayurveda.com; copper-mart.com"
"2026-09-19","gemini:gemini-2.5-flash","What is Shirodhara and where does it come from?","reference","no","0.00","0","3","","","","nih.gov; healthline.com; webmd.com; revivingrituals.com; theayurvedicclinic.com; massagemag.com; ceylonayurveda.pl; artoflivingretreatcenter.org; woodlandshealth.org; ayurvedanama.org"
"2026-09-19","gemini:gemini-2.5-flash","What is the Ayurvedic category of Ashwagandha?","reference","no","0.00","0","3","","","","nih.gov; theayurvedicclinic.com; pureindianfoods.com; artoflivingretreatcenter.org; paperandtea.com; pharmeasy.in; artofvedas.com; banyanbotanicals.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the rasa, virya and vipaka of Shatavari?","reference","no","0.00","0","2","","","fetch failed","purushaayurveda.com; planetayurveda.com; banyanbotanicals.com; artofvedas.com; joyfulbelly.com; deepayurveda.in; ayurvedawoman.com; ayumantra.co; herbalreality.com; ask-ayurveda.com; netmeds.com; easyayurveda.com; nih.gov; ayurveda-herbs.com"
"2026-09-19","gemini:gemini-2.5-flash","What are the main withanolides in Withania somnifera?","reference","no","0.00","0","3","","","","wikipedia.org; bue.edu.eg; nih.gov; mdpi.com; drstanfield.com; nutririse.com; scheunengut.de; leanfuel.in; examine.com; reddragonnutritionals.com; researchgate.net"
"2026-09-19","gemini:gemini-2.5-flash","What is Triphala and what is it traditionally used for?","reference","no","0.00","0","3","","","","nih.gov; pharmeasy.in; wikipedia.org; banyanbotanicals.com; 1mg.com; mountainroseherbs.com; healthline.com; mskcc.org; mapi.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the pharmacopoeial status of Ashwagandha in Europe?","reference","no","0.00","0","3","","","","scribd.com; nih.gov; europa.eu; nutraceuticalsworld.com; herbalreality.com; vitafoodsinsights.com; medium.com; nutraingredients.com; fitoterapiabrasil.com.br; researchgate.net; rivm.nl; usp.org; herbalgram.org; nutritioninsight.com; kerry.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the botanical name of Yashtimadhu and what is it used for traditionally?","reference","no","0.00","0","3","","","","nakraayurveda.com; yashtimadhu.com; potsandpans.in; polycareherbals.com; zanducare.com; davpharmacy.com; deepayurveda.in; healthybazar.com; netmeds.com; planetayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the dosha effect of Haridra?","reference","no","0.00","0","3","","","","artofvedas.com; theclearritual.com; deepayurveda.in; jaribooti.com; ask-ayurveda.com; easyayurveda.com; theayurvedaexperience.com; ishanayurved.com; elementstruffles.com; banyanbotanicals.com; shashviayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What is Guduchi used for in classical Ayurveda?","reference","no","0.00","0","3","","","","ask-ayurveda.com; organicindiausa.com; maharishiayurvedaindia.com; banyanbotanicals.com; herbalreality.com; nih.gov; theayurvedaexperience.com; ebsco.com; rxlist.com; deepayurveda.com.au; artofvedas.com; fusionaryformulas.com; easyayurveda.com; manipalcigna.com; sonnhof-ayurveda.at"
"2026-09-19","gemini:gemini-2.5-flash","What is Bhringraj traditionally used for?","reference","no","0.00","0","3","","","","ask-ayurveda.com; apollopharmacy.in; garrysun.com; drvaidji.com; deepayurveda.com.au; organiser.org; netmeds.com; localpharmacyonline.com; indianjadibooti.com; apollo247.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the difference between Shirodhara and shiro abhyanga?","reference","no","0.00","0","3","","","","dnaveda.com; theayurvedaexperience.com; artoflivingretreatcenter.org; ayurdhama.com; artofvedas.com; praanadha.com; atmabodhwellness.com; ayurvedacollege.com; shantidharawellness.com; yo1.com; vaidyaratnammooss.com; easyayurveda.com; sheshaayurveda.com; ceylonayurveda.pl; vedix.com; soma-wellness.com; nih.gov; maharishiayurvedaindia.org; sbayurvedahospital.com; ayurvaid.com; shadanga.com"
"2026-09-19","gemini:gemini-2.5-flash","What is takra dhara?","reference","no","0.00","0","3","","","","kottakkalayurveda.ae; sitaramretreat.com; easyayurveda.com; chandrangurukkalayurvedicclinic.com; ayurherbs.com.au; birlaayurveda.co.in; charaka.org; naljeevanayush.in; pureherbalayurvedic.com; vitalveda.com.au; ayurvedgram.in; ayurvedichospitalkerala.com; ayurvedasopanam.com; backtorootsayurveda.ae; praanavaidya.com"
"2026-09-19","gemini:gemini-2.5-flash","What is murdha taila?","reference","no","0.00","0","3","","","","easyayurveda.com; scribd.com; amazonaws.com; researchgate.net; wisdomlib.org; sevadham.org; facebook.com; internationaljournal.org.in; youtube.com; svvayurveda.com; ayushdhara.in"
"2026-09-19","gemini:gemini-2.5-flash","Which classical text describes Shirodhara?","reference","no","0.00","0","3","","","","ashpveda.com; maharishiayurvedaindia.org; ashtangayurvedhospital.com; internationaljournal.org.in; shirobliss.com; chandrangurukkalayurvedicclinic.com; ceylonayurveda.pl; theayurvedicclinic.com; ojasayurved.com; carakasamhitaonline.com; researchgate.net"
"2026-09-19","gemini:gemini-2.5-flash","What is shiro basti?","reference","no","0.00","0","3","","","","yo1.com; charakayurveda.com; sanjeevaninaturopathyhospital.com; eternalhealingarts.com; sbayurvedahospital.com; healthandbeyond.com.my; vedaayurvedicmedicalcenter.com; slideshare.net; easyayurveda.com; ayurtimes.com; omkarayurved.in; satguruayurvedaindia.com; researchgate.net; ayurveda-badems.com"
"2026-09-19","gemini:gemini-2.5-flash","What is a dhara patra?","reference","no","0.00","0","3","","","","artisera.com; exoticindiaart.com; anarghyaa.com; ruralhandmade.com; zilpin.in; facebook.com; tradeindia.com; exportersindia.com"
"2026-09-19","gemini:gemini-2.5-flash","What is a neti pot used for in Ayurveda?","reference","no","0.00","0","3","","","","artoflivingretreatcenter.org; paavaniayurveda.com; ayurherbs.com.au; banyanbotanicals.com; european-ayurveda.com; yogajournal.com; ayurvedacollege.com; ayurvedapractice.com; kripalu.org; draxe.com; fushiwellbeing.com; ayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What Ayurvedic instruments are described in the Sushruta Samhita?","reference","no","0.00","0","3","","","","organiser.org; ayushdhara.in; easyayurveda.com; scribd.com; nih.gov; ajsuccr.org; asiindia.org; wordpress.com; facebook.com; google.com; researchgate.net; recentscientific.com"
"2026-09-19","gemini:gemini-2.5-flash","What is an avaleha in Ayurveda?","reference","no","0.00","0","3","","","","ask-ayurveda.com; essentialayurveda.co.uk; amrutam.co.in; ijrar.org; proearth.co.in; ayurvitewellness.com; slideshare.net; wisdomlib.org; ijpsjournal.com; bhardwajpharmaceuticalworks.co.in; ayurvaid.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the difference between a churna and a vati?","reference","no","0.00","0","3","","","","atthecore.ca; wikipedia.org; yogainternational.com; oyurveda.com; maharishiayurvedaindia.com; ask-ayurveda.com; wjarr.com; wisdomlib.org; 1mg.com; easyayurveda.com; planetayurveda.com; yogapedia.com; theukayurvediccentre.com; artofvedas.com; wjbphs.com; nakraayurveda.com; scribd.com; ayurvaid.com; ijpsjournal.com; youtube.com; slideshare.net; researchgate.net"
"2026-09-19","gemini:gemini-2.5-flash","What is Ajamodadi Churna and what is the standard dose?","reference","no","0.00","0","3","","","","athreyaherbs.com; ayusadhya.in; snherbals.com; thepunarvasu.com; pravek.com; planetayurveda.com; ask-ayurveda.com; ayurmedinfo.com"
"2026-09-19","gemini:gemini-2.5-flash","How do I add Shirodhara to my spa menu?","trade","no","0.00","0","3","","","","thaicospa.ro; amrtasiddhi-group.com; jessicaquinnayurveda.com; soma-wellness.com; artoflivingretreatcenter.org; massagemag.com; lagoonspaseminyak.com; purespadirect.com; spafinder.com; tattvaspa.com; blissalchemy.net; essenceofself.com; skininc.com; bluelotusayurveda.com; thespamart.com; chairsthatgive.com; michelepelafas.com; ojas.us; shirobliss.com; graphy.com; nielasher.com; healayurvedala.com; suryawellness.com; shantidharawellness.com; artofvedas.com; atmabodhwellness.com; yarawellness.com; keralaayurveda.com; ayurvaid.com; ayurvedacollege.com; homestyler.com; massagesupplies.com; ask-ayurveda.com; tri-dosha.co.uk; maharaniacademy.com; lakshmiayurveda.com.au; myholistictraining.com; zenoti.com; hftp.org; mindbodyonline.com; scribd.com; professionalbeauty.co.uk; ayurvedamtl.com; ayurvawellness.com; touchamerica.com; heritageayurveda.de; sevayu.com; spadreams.com; metatechinsights.com"
"2026-09-19","gemini:gemini-2.5-flash","What does a spa need to offer Shirodhara?","trade","no","0.00","0","3","","","","atmiyasurgical.com; artofvedas.com; thespamart.com; yarawellness.com; purespadirect.com; massagemag.com; ayurvedacollege.com; theayurvedaexperience.com; vardhanayurveda.com; easyayurveda.com; artoflivingretreatcenter.org; ceylonayurveda.pl; healthline.com; woodlandshealth.org; nih.gov; esteemservices.in; ayurvedainstitute.co.uk; massagesupplies.com; homestyler.com; ask-ayurveda.com; nielasher.com; brightmoon.institute; premyogaayurveda.com; myholistictraining.com; dr-deepa.com; webmd.com; lifewellness.lk; maharaniayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What equipment does a clinic need to offer Shirodhara?","trade","no","0.00","0","3","","","","artofvedas.com; purespadirect.com; moh.gov.my; massagemag.com; healthline.com; webmd.com; nih.gov; holistic-essentials.com; ayurayurvedicequipment.com; massagesupplies.com; atmiyasurgical.com; thespamart.com; ayurvedicequip.com"
"2026-09-19","gemini:gemini-2.5-flash","How long should a Shirodhara appointment be booked for?","trade","no","0.00","0","3","","","","facebook.com; ayurvedacollege.com; ceylonayurveda.pl; ayurvedanama.org; tigrisvalley.com; theayurvedaexperience.com; panchakarma.club; tattvaspa.com; artoflivingretreatcenter.org; adivaidyamayurvedic.com; yarawellness.com; healthline.com; sgvpholistichospital.org; ayurvedichospital.com"
"2026-09-19","gemini:gemini-2.5-flash","Do therapists need a qualification to perform Shirodhara?","trade","no","0.00","0","3","","","","aapna.org; maharaniacademy.com; nielasher.com; myholistictraining.com; chivasomacademy.com; lifewellness.lk; maharaniayurveda.com; ayurvedacollege.com; ayurvedanaasc.org; yogavedainstitute.com; jobs.ch; ayurvedainstitute.co.uk; drclaudiawelch.com; theshantaayurvedahospital.com; ayurvedanama.org; brightmoon.institute; vibrantayurveda.com.au; theayurvedaexperience.com; lakshmiayurveda.com.au; ojas.us"
"2026-09-19","gemini:gemini-2.5-flash","What can a spa say when advertising Shirodhara?","trade","no","0.00","0","3","","","","soma-wellness.com; lagoonspaseminyak.com; ayurherbs.com.au; pranabydimple.com; yo1.com; ceylonayurveda.pl; santhigiri-ayurveda.com; ayurhitam.com; drprajaktaayurveda.com; thaicospa.ro; ayurvedanama.org; atmabodhwellness.com; spafinder.com; massagemag.com; djholtlaw.com; weitzmorgan.com; professionalbeauty.co.uk; littlehealthlaw.com; theayurvedaexperience.com; atmanaspa.com; atticeayurveda.in; maharishiayurvedaindia.org; purushaayurveda.com; carakasamhitaonline.com; hinshawlaw.com; reservio.com"
"2026-09-19","gemini:gemini-2.5-flash","What does a hospital Panchakarma unit need for Shirodhara?","trade","no","0.00","0","3","","","","artofvedas.com; atmiyasurgical.com; ayurayurvedicequipment.com; ayurvedicequip.com; moh.gov.my; purespadirect.com; nih.gov; easyayurveda.com; scribd.com; amrita.edu; itoozhiayurveda.in; mantechpublications.com; charak.com; thespamart.com; massagesupplies.com; massagemag.com; ask-ayurveda.com; indiamart.com; techlinecomposite.com; shirobliss.com; facebook.com; healthline.com; yarawellness.com; sushruta-clinic.com"
"2026-09-19","gemini:gemini-2.5-flash","Who is allowed to perform Shirodhara in a hospital?","trade","no","0.00","0","3","","","","saiayurvedic.com; namacb.org; ayurveda.com; ayurvedanama.org; maharaniayurveda.com; sankalphospital.co.in; biovediccare.com; umn.edu; easyayurveda.com; samrudhihospital.com; ayurmana.in; moh.gov.my; drpalikuttysayurveda.com; ashtangayurvedhospital.com; vedakare.com"
"2026-09-19","gemini:gemini-2.5-flash","Is NABH accreditation required to offer Panchakarma?","trade","no","0.00","0","3","","","","iaimhealthcare.org; nabh.co; researchgate.net; sitaramretreat.com; medigence.global; scribd.com; ayurvedicsoftware.com; kairali.com; current time information in india.; ayurvedaconsultants.com; accrewise.com"
"2026-09-19","gemini:gemini-2.5-flash","What are the room requirements for a Panchakarma unit in India?","trade","no","0.00","0","3","","","","mohfw.gov.in; gujarat.gov.in; skydecengineers.com; charak.com; ask-ayurveda.com; hospaccxconsulting.com; nabh.co; charaka.org"
"2026-09-19","gemini:gemini-2.5-flash","Is there a standard for reusing Shirodhara oil between patients?","trade","no","0.00","0","3","","","","kairalicenters.com; quora.com; purifry.in; secondmedic.com; ecoil.in; mercuryimp.com; easyayurveda.com; moh.gov.my; columbusayurveda.com; shreehospitalgroup.com; vibrantayurveda.com.au; ayurvedacollege.com; massagemag.com; atmiyasurgical.com"
"2026-09-19","gemini:gemini-2.5-flash","Can a Shirodhara machine handle buttermilk and milk as well as oil?","trade","no","0.00","0","3","","","","djayurveda.com; yarawellness.com; sevayu.com; easyayurveda.com; sushruta-clinic.com; theayurvedaexperience.com; scribd.com; healthline.com; webmd.com; thedairysite.com; rawmilkinstitute.org; partsdepartmentonline.com; agri-spareparts.com; asmy.org.au; ayurvedengineering.com; irjet.net; artofvedas.com; massagemag.com; hamch.in"
"2026-09-19","gemini:gemini-2.5-flash","What is Age Ayurveda?","brand","yes","0.33","1","3","source:ageayurveda.com","https://ageayurveda.com/collections/shop-all; https://ageayurveda.com/collections","","saumya-ayurveda.com; ayunidhi.com; ciamor.com; nih.gov; ayurvedacollege.com; everest-ayurveda.com; ayurveda.com; srisriayurvedahospital.org; cymbiotika.com; ayurvedacollege.net; vediclab.com; canyonranch.com; ayurvedicvillage.com; artofliving.org; dheemahiayur.com; ageayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the Age Ayurveda Nighantu?","brand","no","0.00","0","3","","","","nighantuayurveda.com; exoticindiaart.com; scribd.com; slideshare.net; cabidigitallibrary.org; ayushdhara.in; wjpmr.com"
"2026-09-19","gemini:gemini-2.5-flash","Who publishes the Nighantu?","brand","no","0.00","0","3","","","","exoticindiaart.com; motilalbanarsidass.com; wikipedia.org; bookkish.com; gktoday.in; cabidigitallibrary.org; mlbd.in; archive.org; ovid.com; ijapr.in"
"2026-09-19","gemini:gemini-2.5-flash","What is Surya Shirodhara?","brand","yes","1.00","3","3","source:ageayurveda.com; mention:age ayurveda","https://ageayurveda.com/products/surya-shirodhara; https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device","","ageayurveda.com; artoflivingretreatcenter.org; facebook.com; healthline.com; theayurvedaexperience.com; purespadirect.com; soma-wellness.com; ayurvedacollege.com; atmabodhwellness.com; pranabydimple.com; yo1.com; suryawellness.com"
